Parent,Child,Coefficient
age,Aches,0.2757246006425887
Chills,Aches,0.6850287413177376
RedEye,Aches,-0.4231779254133947
Cough,Aches,0.6084265610884837
Diarrhea,Aches,0.09222839801418183
COVID,Aches,0.23673265247684636
Fatigue,Aches,0.8609100807749441
Fever,Aches,0.22118028206886856
gender,Aches,-0.09074651194404561
Headache,Aches,0.6114064725490237
Nausea,Aches,0.14865535936882038
ShortBreath,Aches,-0.07892817360600123
Vomit,Aches,-0.12459110676414953
Wheeze,Aches,0.1692717040720854
Aches,Chills,0.7358337084230481
age,Chills,0.13336035820332978
ChestPain,Chills,0.2639100225132312
RedEye,Chills,1.4106061815655637
Cough,Chills,-0.05929205757981987
Fatigue,Chills,0.26613372293842813
Fever,Chills,-0.21893140776024103
Headache,Chills,0.49023173549413673
Nausea,Chills,0.3015994349906919
RunnyNose,Chills,0.47804485869659513
ShortBreath,Chills,0.2648829696288735
Wheeze,Chills,0.17199228307445497
Aches,RedEye,-0.5525504735894124
age,RedEye,0.26449419635759985
Chills,RedEye,1.5289882639728378
Cough,RedEye,-0.5026108874851986
COVID,RedEye,-0.5475534273125358
Fever,RedEye,-0.25436863066228543
Aches,Cough,0.4872338156745682
age,Cough,0.17155162701809068
ChestPain,Cough,0.24956878554736778
Chills,Cough,-0.11381025275375709
RedEye,Cough,-0.38768496425151566
COVID,Cough,0.11695759394562379
Fatigue,Cough,0.1963909800601407
Fever,Cough,0.9921718052285896
gender,Cough,-0.06732895300038974
Headache,Cough,0.35912541211118154
Nausea,Cough,0.08083414550610435
RunnyNose,Cough,0.9719484034347411
ShortBreath,Cough,0.48262764012657605
Wheeze,Cough,0.19222680119491733
Aches,Fatigue,0.8824535326402729
age,Fatigue,0.22784720821403479
ChestPain,Fatigue,0.24340634110183584
Chills,Fatigue,0.26792784185478247
RedEye,Fatigue,-0.14338215961278458
Cough,Fatigue,0.3180392921612276
Diarrhea,Fatigue,0.10144167422797348
COVID,Fatigue,0.1291367612681675
Fever,Fatigue,0.3253752480085321
gender,Fatigue,0.05512292125899987
Headache,Fatigue,0.5350587988250223
Nausea,Fatigue,0.2512629332304578
RunnyNose,Fatigue,0.3563794472360509
ShortBreath,Fatigue,0.17549831009959163
Vomit,Fatigue,-0.09613824882679121
RedEye,Fever,-0.0734917601120245
Cough,Fever,0.9740439024481009
Fatigue,Fever,0.12215105023208916
Aches,Headache,0.6300998106667948
age,Headache,-0.20508338887680885
ChestPain,Headache,0.08318223216888475
Chills,Headache,0.39751799489584316
Cough,Headache,0.5035639232460893
COVID,Headache,-0.06697970271448381
Fatigue,Headache,0.5112142749684273
Fever,Headache,0.20815690823791952
Nausea,Headache,0.23291103562665416
RunnyNose,Headache,0.15981424034945135
ShortBreath,Headache,0.17748325409425006
Chills,Nausea,0.06991374498155795
Fatigue,Nausea,0.1856309967000213
Headache,Nausea,0.25068060452695484
Vomit,Nausea,0.8035377870391067
age,RunnyNose,-0.6752400761531713
Chills,RunnyNose,0.3625949327846695
Cough,RunnyNose,1.145024268040423
Diarrhea,RunnyNose,0.11224377365438075
COVID,RunnyNose,-0.10485286916594547
Fatigue,RunnyNose,0.26570858065055963
Fever,RunnyNose,0.15375045293917383
Headache,RunnyNose,0.13586527793402212
Nausea,RunnyNose,0.09669194062054604
ShortBreath,RunnyNose,0.08372127178431037
Wheeze,RunnyNose,0.2460248142717387
ChestPain,ShortBreath,0.09890708481423566
Chills,ShortBreath,0.12716583147872046
Cough,ShortBreath,0.16000482092461565
Fatigue,ShortBreath,0.20257283157686115
Headache,ShortBreath,0.23942883726392003
Nausea,ShortBreath,0.10222081771462109
Wheeze,ShortBreath,0.3931475721399245
ChestPain,Vomit,-0.16099167008245416
Diarrhea,Vomit,0.14274428269599387
Fever,Vomit,0.18689750105931002
Nausea,Vomit,1.295789623782697
Wheeze,Vomit,0.22840890248948695
